name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,min_order_qty,max_order_qty,step,quantity,price_text,ragular_price,sale_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Georgette-32S1F24,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F24,4.6,4.6,0.1,4.6,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F24-(4).jpg, 32S1F24-(2).jpg, 32S1F24-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F25,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Black & white,0.15,32S1F25,1.8,1.8,0.1,1.8,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F25-(4).jpg, 32S1F25-(2).jpg, 32S1F25-(3).jpg, 32S1F25-(5).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black and white",yes,in_stock,published 
Printed Georgette-32S1F26,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F26,2.2,2.2,0.1,2.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F26-(4).jpg, 32S1F26-(2).jpg, 32S1F26-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F27,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Black,0.2,32S1F27,1.2,1.2,0.1,1.2,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F27-(4).jpg, 32S1F27-(2).jpg, 32S1F27-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black",yes,in_stock,published 
Printed Georgette-32S1F28,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F28,1.8,1.8,0.1,1.8,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F28-(4).jpg, 32S1F28-(2).jpg, 32S1F28-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F29,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F29,2.8,2.8,0.1,2.8,120 per meter,120,96,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F29-(4).jpg, 32S1F29-(2).jpg, 32S1F29-(3).jpg, 32S1F29-(5).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F30,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Yellow,0.15,32S1F30,1.4,1.4,0.1,1.4,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F30-(4).jpg, 32S1F30-(2).jpg, 32S1F30-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, yellow",yes,in_stock,published 
Printed Georgette-32S1F31,Printed Georgette,Plain,58 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F31,0.8,0.8,0.1,0.8,480 per meter,480,384,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F31-(4).jpg, 32S1F31-(2).jpg, 32S1F31-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F32,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,White,0.2,32S1F32,1,1,0.1,1,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F32-(4).jpg, 32S1F32-(2).jpg, 32S1F32-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, white",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F33,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Green,0.2,32S1F33,1.4,1.4,0.1,1.4,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F33-(4).jpg, 32S1F33-(2).jpg, 32S1F33-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, green",yes,in_stock,published 
